SolSuspensaoTotais,NitrogenioTotal,Clorofila,SolTotais,DBO,FosforoTotal,Nitratos,SolDissolvidosTotais,NitrogenioAmoniacal,Turbidez,Delta T,OD,TempAr,TempAmostra,pH,Município,Primavera,Inverno,Outono,Verao,Classe,Nome do manancial superficial,Date_x,Categoria do manancial superficial,Unidade,Resultado,UF,Região Geográfica,Outlier
50.0,1.0,0.4000000059604645,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,11.0,4.5,5.789999961853027,28.0,23.5,7.059999942779541,ANGICAL,0,1,0,0,0,RIO GRANDE,2018-07-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.7099999785423279,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.899999618530273,4.6000003814697195,5.269999980926514,33.0,28.39999961853028,6.590000152587891,RIACHAO DAS NEVES,0,0,1,0,0,RIO GRANDE,2018-04-11,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,1.0399999618530271,68.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,7.5,4.5,6.460000038146973,33.0,28.5,7.980000019073486,RIACHAO DAS NEVES,0,0,1,0,0,RIO GRANDE,2018-04-11,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,3.259999990463257,234.0,4.0,0.0199999995529651,0.0199999995529651,210.0,0.4000000059604645,6.599999904632568,-2.0,7.300000190734863,23.0,25.0,7.929999828338623,JAGUARIPE,0,1,0,0,0,RIO DA DONA,2019-09-11,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,1.409999966621399,98.0,3.0,0.0199999995529651,0.0199999995529651,78.0,0.4000000059604645,3.400000095367432,1.1000003814697195,8.079999923706055,27.0,25.89999961853028,8.300000190734863,JAGUARIPE,1,0,0,0,0,RIO DA DONA,2019-12-04,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,34.5,214.0,3.0,0.0199999995529651,0.0199999995529651,206.0,0.4000000059604645,5.199999809265137,-0.39999961853028054,5.21999979019165,25.0,25.39999961853028,7.079999923706055,JAGUARIPE,1,0,0,0,0,RIO DA DONA,2019-11-20,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.7599999904632568,130.0,3.0,0.0299999993294477,0.0199999995529651,126.0,0.4000000059604645,10.300000190734863,1.5,8.149999618530273,26.0,24.5,7.46999979019165,JAGUARIPE,1,0,0,0,0,RIO DA DONA,2019-10-02,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
49.0,0.4799999892711639,0.0099999997764825,121.0,1.600000023841858,0.0370000004768371,0.1790000051259994,72.0,0.25,126.77999877929688,2.0699996948242188,6.929999828338623,26.0,23.93000030517578,6.71999979019165,CAATIBA,0,1,0,0,0,RIO RIACHAO,2019-06-27,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,61.0,3.0,0.0199999995529651,0.0599999986588954,50.0,0.4000000059604645,8.600000381469727,1.3999996185302734,6.489999771118164,24.0,22.600000381469727,6.440000057220459,IBICOARA,0,1,0,0,0,RIO PRETO,2019-09-17,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,156.0,2.0,0.0199999995529651,0.0599999986588954,126.0,0.4000000059604645,8.800000190734863,7.0,5.21999979019165,28.0,21.0,6.28000020980835,MANSIDAO,0,0,1,0,0,RIO PRETO,2018-06-19,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
