SolTotais,SolSuspensaoTotais,DBO,NitrogenioAmoniacal,Nitratos,Clorofila,FosforoTotal,SolDissolvidosTotais,Turbidez,OD,pH,Delta T,TempAmostra,TempAr,UF,Resultado,Unidade,Categoria do manancial superficial,Nome do manancial superficial,Date_x,Município,Classe,Verao,Outono,Inverno,Primavera,Região Geográfica,Outlier
67.0,21.0,2.0,0.1700000017881393,0.8700000047683716,1.0679999589920044,0.0199999995529651,46.0,31.700000762939453,8.300000190734863,6.900000095367432,3.0,22.5,25.5,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2019-12-03,PARAISO,0,0,0,0,1,SUL,1
67.0,21.0,2.0,0.1700000017881393,0.8700000047683716,1.0679999589920044,0.0199999995529651,46.0,31.700000762939453,8.300000190734863,6.900000095367432,3.0,22.5,25.5,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2019-12-03,GUARUJA DO SUL,0,0,0,0,1,SUL,1
36.0,11.0,2.0,0.1000000014901161,0.7599999904632568,0.800000011920929,0.1299999952316284,25.0,4.46999979019165,8.600000381469727,6.699999809265137,3.6999988555908274,19.700000762939453,23.39999961853028,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2019-09-04,GUARUJA DO SUL,0,0,0,1,0,SUL,1
64.0,18.0,2.0,0.1000000014901161,0.4799999892711639,0.800000011920929,0.0399999991059303,46.0,41.70000076293945,8.300000190734863,6.0,6.200000762939453,22.799999237060547,29.0,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2018-12-06,GUARUJA DO SUL,0,0,0,0,1,SUL,1
64.0,18.0,2.0,0.1000000014901161,0.4799999892711639,0.800000011920929,0.0399999991059303,46.0,41.70000076293945,8.300000190734863,6.0,6.200000762939453,22.799999237060547,29.0,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2018-12-06,PARAISO,0,0,0,0,1,SUL,1
51.0,24.0,2.0,0.1000000014901161,0.449999988079071,0.8009999990463257,0.0199999995529651,27.0,6.96999979019165,6.5,7.300000190734863,5.799999237060547,20.200000762939453,26.0,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2020-06-03,PARAISO,0,0,1,0,0,SUL,1
106.0,50.0,2.0,0.1000000014901161,0.4199999868869781,1.722599983215332,0.0900000035762786,56.0,99.6999969482422,8.0,7.0,6.799999237060547,25.200000762939453,32.0,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2020-03-02,PARAISO,0,1,0,0,0,SUL,1
106.0,50.0,2.0,0.1000000014901161,0.4199999868869781,1.722599983215332,0.0900000035762786,56.0,99.6999969482422,8.0,7.0,6.799999237060547,25.200000762939453,32.0,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2020-03-02,GUARUJA DO SUL,0,1,0,0,0,SUL,1
51.0,24.0,2.0,0.1000000014901161,0.449999988079071,0.8009999990463257,0.0199999995529651,27.0,6.96999979019165,6.5,7.300000190734863,5.799999237060547,20.200000762939453,26.0,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2020-06-03,GUARUJA DO SUL,0,0,1,0,0,SUL,1
25.0,2.0,2.0,0.1000000014901161,0.1099999994039535,0.800000011920929,0.0199999995529651,24.0,5.71999979019165,8.899999618530273,6.699999809265137,6.100000381469727,18.600000381469727,24.700000762939453,PR,0.0,Aphanocapsa sp.,rio,RIO VERMELHO,2018-09-03,CONSELHEIRO MAIRINCK,0,0,0,1,0,SUL,1
31.0,7.0,2.0,0.1000000014901161,0.4600000083446502,0.800000011920929,0.0599999986588954,24.0,5.070000171661377,8.600000381469727,6.900000095367432,4.799999237060547,17.700000762939453,22.5,PR,0.0,Aphanocapsa sp.,rio,RIO VERMELHO,2019-09-02,CONSELHEIRO MAIRINCK,0,0,0,1,0,SUL,1
99.0,54.0,2.0,0.1000000014901161,0.2599999904632568,1.160899996757507,0.0299999993294477,45.0,81.9000015258789,6.699999809265137,5.800000190734863,4.199998855590827,25.700000762939453,29.89999961853028,PR,0.0,Aphanocapsa sp.,rio,RIO CONGONHAS,2018-10-31,URAI,0,0,0,0,1,SUL,1
174.0,4.0,2.0,0.1000000014901161,0.0700000002980232,0.800000011920929,0.0199999995529651,170.0,5.440000057220459,6.800000190734863,7.900000095367432,3.8000011444091726,21.39999961853028,25.200000762939453,PR,0.0,Aphanocapsa sp.,rio,RIO SAO PEDRO,2018-09-17,VERA CRUZ DO OESTE,0,0,0,1,0,SUL,1
136.0,8.0,2.0,0.1000000014901161,0.1700000017881393,0.800000011920929,0.0199999995529651,128.0,3.470000028610229,6.800000190734863,7.699999809265137,4.799999237060547,22.0,26.799999237060547,PR,0.0,Aphanocapsa sp.,rio,RIO SAO PEDRO,2018-09-17,VERA CRUZ DO OESTE,0,0,0,1,0,SUL,1
305.0,232.0,2.0,0.2599999904632568,0.4600000083446502,0.800000011920929,0.1199999973177909,73.0,307.0,6.400000095367432,6.400000095367432,2.5,23.5,26.0,PR,0.0,Aphanocapsa sp.,rio,RIO SAO PEDRO,2020-03-11,VERA CRUZ DO OESTE,0,1,0,0,0,SUL,1
176.0,86.0,4.0,1.7999999523162842,0.0599999986588954,6.46999979019165,0.0900000035762786,76.0,42.0,5.739999771118164,6.96999979019165,6.0,20.0,26.0,PR,0.0,Aphanocapsa sp.,rio,RIO SAO PEDRO,2017-07-27,VERA CRUZ DO OESTE,0,0,0,1,0,SUL,1
467.0,186.0,4.900000095367432,4.320000171661377,2.6600000858306885,5.933300018310547,0.3799999952316284,281.0,217.0,5.900000095367432,7.199999809265137,1.5,22.89999961853028,24.39999961853028,PR,116.0,Aphanocapsa sp.,rio,RIO SAO PEDRO,2020-05-28,VERA CRUZ DO OESTE,0,0,1,0,0,SUL,1
88.0,50.0,2.0,0.4000000059604645,0.0199999995529651,5.110000133514404,0.0399999991059303,82.0,19.0,5.519999980926514,7.690000057220459,7.1000003814697195,28.89999961853028,36.0,PR,0.0,Aphanocapsa sp.,rio,RIO SAO PEDRO,2018-02-05,VERA CRUZ DO OESTE,0,1,0,0,0,SUL,1
100.0,48.0,2.0,0.1800000071525573,0.7799999713897705,0.800000011920929,0.0199999995529651,52.0,46.29999923706055,8.600000381469727,6.300000190734863,1.2999992370605469,21.200000762939453,22.5,PR,438.0,Aphanocapsa sp.,rio,RIO TURVO,2020-05-18,TURVO,0,0,1,0,0,SUL,1
99.0,12.0,5.900000095367432,3.5,0.6700000166893005,0.800000011920929,0.3100000023841858,87.0,11.800000190734863,4.5,7.0,5.19999885559082,18.600000381469727,23.799999237060547,SP,39.0,Aphanocapsa sp.,rio,RIO JAGUARI-MIRIM,2018-08-27,SAO JOAO DA BOA VISTA,0,0,0,1,0,SUDESTE,1
72.0,9.0,2.0,0.3000000119209289,0.6700000166893005,0.800000011920929,0.0700000002980232,63.0,4.949999809265137,8.199999809265137,6.900000095367432,8.200000762939453,19.0,27.200000762939453,SP,39.0,Aphanocapsa sp.,rio,RIO JAGUARI-MIRIM,2018-08-27,SAO JOAO DA BOA VISTA,0,0,0,1,0,SUDESTE,1
58.0,24.0,2.0,0.1000000014901161,0.8299999833106995,2.6700000762939453,0.1500000059604644,34.0,73.4000015258789,7.699999809265137,7.099999904632568,2.1000003814697195,18.39999961853028,20.5,SP,1.0,Aphanocapsa sp.,rio,RIO JAGUARI,2019-11-12,SANTA ISABEL,0,0,0,0,1,SUDESTE,1
53.0,12.0,2.0,0.1000000014901161,1.350000023841858,0.800000011920929,0.0799999982118606,41.0,14.899999618530272,7.300000190734863,6.900000095367432,4.0,22.299999237060547,26.299999237060547,SP,1.0,Aphanocapsa sp.,rio,RIO JAGUARI,2019-11-12,SANTA ISABEL,0,0,0,0,1,SUDESTE,1
70.0,20.0,2.0,0.209999993443489,1.4600000381469729,0.800000011920929,0.0900000035762786,50.0,19.700000762939453,7.199999809265137,7.400000095367432,2.5,22.600000381469727,25.100000381469727,SP,1.0,Aphanocapsa sp.,rio,RIO JAGUARI,2019-11-12,SANTA ISABEL,0,0,0,0,1,SUDESTE,1
50.0,50.0,2.0,0.4000000059604645,0.0199999995529651,1.0399999618530271,0.0399999991059303,50.0,1.0,4.809999942779541,7.360000133514404,0.2999992370605469,25.700000762939453,26.0,SP,60.0,Aphanocapsa sp.,rio,RIO BRANCO,2017-12-20,ITANHAEM,0,0,0,0,1,SUDESTE,1
237.0,32.0,2.0,0.4000000059604645,0.0199999995529651,3.309999942779541,0.0199999995529651,199.0,5.099999904632568,3.0,6.5,2.200000762939453,27.799999237060547,30.0,SP,60.0,Aphanocapsa sp.,rio,RIO BRANCO,2017-12-20,ITANHAEM,0,0,0,0,1,SUDESTE,1
61.0,8.0,15.0,0.1899999976158142,0.8999999761581421,0.934499979019165,0.050000000745058,53.0,7.170000076293945,8.100000381469727,6.699999809265137,4.299999237060547,20.200000762939453,24.5,SP,10.0,Aphanocapsa sp.,rio,RIO CANOAS,2018-09-11,MOCOCA,0,0,0,1,0,SUDESTE,1
99.0,2.0,2.0,0.1899999976158142,0.2199999988079071,0.800000011920929,0.0700000002980232,97.0,8.75,8.300000190734863,6.400000095367432,5.5,20.100000381469727,25.600000381469727,SP,10.0,Aphanocapsa sp.,rio,RIO CANOAS,2018-09-11,MOCOCA,0,0,0,1,0,SUDESTE,1
70.0,8.0,2.0,0.6200000047683716,1.830000042915344,1.86899995803833,0.0700000002980232,62.0,6.400000095367432,8.300000190734863,6.400000095367432,0.8999996185302717,15.100000381469728,16.0,SP,3.0,Aphanocapsa sp.,rio,RIO MOJI-GUACU,2019-08-15,MOGI GUACU,0,0,0,1,0,SUDESTE,1
65.0,19.0,2.0,0.2899999916553497,1.25,1.86899995803833,0.050000000745058,46.0,17.299999237060547,8.5,6.300000190734863,0.5,15.5,16.0,SP,3.0,Aphanocapsa sp.,rio,RIO MOJI-GUACU,2019-08-15,MOGI GUACU,0,0,0,1,0,SUDESTE,1
